city,blood_type,quantity,qValue,date
Gdańsk,B Rh+,Medium,50,31-08-2022
Gdańsk,B Rh-,Medium,50,31-08-2022
Gdańsk,AB Rh+,Full,100,31-08-2022
Gdańsk,AB Rh-,Medium,50,31-08-2022
Kalisz,0 Rh+,Medium,50,31-08-2022
Kalisz,0 Rh-,Very low,5,31-08-2022
Kalisz,A Rh+,Medium,50,31-08-2022
Kalisz,A Rh-,Very low,5,31-08-2022
Kalisz,B Rh+,Optimal,90,31-08-2022
Kalisz,B Rh-,Very low,5,31-08-2022
Kalisz,AB Rh+,Medium,50,31-08-2022
Kalisz,AB Rh-,Very low,5,31-08-2022
Katowice,0 Rh+,Full,100,31-08-2022
Katowice,0 Rh-,Optimal,90,31-08-2022
Katowice,A Rh+,Full,100,31-08-2022
Katowice,A Rh-,Medium,50,31-08-2022
Katowice,B Rh+,Full,100,31-08-2022
Katowice,B Rh-,Full,100,31-08-2022
